x,y
464841.9245343788,3971591.5210121246
464842.4059523927,3971592.7894553323
464842.8196692991,3971594.0404408993
464843.2524826774,3971595.3216062146
464843.88709235133,3971596.450953549
464844.8147525236,3971597.1316781184
464845.6775745889,3971597.364104503
464846.58411592175,3971597.52593475
464847.51941926253,3971597.5484300368
464848.5453478856,3971597.604635715
464849.66212733847,3971597.581078941
464850.7722668895,3971597.3490388715
464851.89843709767,3971596.975769
464852.9881243283,3971596.685653671
464853.9372560928,3971596.3884349675
464854.96793039946,3971596.1008365494
464856.02180558187,3971595.772020234
464857.1161188012,3971595.452572694
464858.16558444756,3971595.2319177142
464859.3412281611,3971594.9049406443
464860.3453247487,3971594.5903850496
464861.32529435866,3971594.5510178637
464862.38848501985,3971594.4261244657
464863.27174589486,3971594.2461409937
464864.155541892,3971593.980484257
464865.0536196315,3971593.621729828
464866.135237373,3971593.325397669
464867.1365172069,3971593.051798285
464868.1411660554,3971592.6957153175
464869.183298365,3971592.369007122
464870.1176826096,3971592.0949409218
464871.04955141677,3971591.898221882
464872.5141099823,3971591.676133136
464873.55145769846,3971591.3558465466
464874.5772972991,3971590.988849857
464875.6234108134,3971590.669561535
464876.63672871236,3971590.3392137447
464877.547017675,3971590.0856597503
464878.36827434716,3971589.792114249
464879.36300050735,3971589.4998071897
464880.5548649465,3971589.034779984
464881.69193448976,3971588.581159538
464882.58452882717,3971588.263717567
464883.7199416774,3971587.7836925783
464884.7957361881,3971587.4046765277
464885.87730347447,3971586.983933032
464886.9223062899,3971586.6465737545
464887.9482344964,3971586.296956901
464888.9494998015,3971585.986307295
464889.9991242378,3971585.627131174
464891.0936827161,3971585.2458030707
464892.23315738246,3971584.8283835943
464893.32900226774,3971584.457220044
464894.39146729716,3971584.070257644
464895.42895100574,3971583.673083808
464896.4766794788,3971583.2612973084
464897.50121060456,3971582.8452929235
464898.4902715127,3971582.358012349
464899.50530315994,3971581.8947654725
464900.5343945342,3971581.427722707
464901.52255521266,3971581.0150484415
464902.549123979,3971580.6830573347
464903.5308573097,3971580.294240891
464904.5643657723,3971579.821016993
464905.6212343524,3971579.33243112
464906.61509429343,3971578.969648961
464907.5654016228,3971578.520225806
464908.6389777621,3971578.1655343003
464909.6374599015,3971577.770719009
464910.56924323685,3971577.3060949547
464911.60001229227,3971576.9373523174
464912.5290608624,3971576.528996634
